Country Name,Country Code,Year,Access to electricity (% of population),"Adolescent fertility rate (births per 1,000 women ages 15-19)",Agricultural land (% of land area),CO2 emissions (metric tons per capita),Forest rents (% of GDP),GDP growth (annual %),GDP per capita (current US$),"Immunization, DPT (% of children ages 12-23 months)","Industry (including construction), value added (% of GDP)",Mobile cellular subscriptions (per 100 people)
Brazil,BRA,2001,96.016528,85.862,27.32990833,1.792112278,0.509251685,1.389896401,3142.235528,98.0,22.63952791,16.13010807
Brazil,BRA,2002,96.652996,81.978,27.3423154,1.760651244,0.681429263,3.053461859,2824.715396,99.0,22.49532782,19.32713015
Brazil,BRA,2003,96.980098,78.704,27.35472246,1.701852536,0.724539472,1.140828998,3056.64968,99.0,23.08381782,25.39202175
Brazil,BRA,2004,96.765107,78.351,27.36712953,1.778441244,0.517651208,5.759964637,3623.223905,99.0,24.30662329,35.51552318
Brazil,BRA,2005,97.093513,77.864,27.3795366,1.775662922,0.422735364,3.202132061,4773.26848,99.0,24.17257828,46.15180215
Brazil,BRA,2006,97.594314,75.657,27.39257777,1.777477957,0.45830829,3.961988711,5866.024313,99.0,23.54402167,52.91720162
Brazil,BRA,2007,98.125382,73.105,27.47881706,1.847975736,0.447859779,6.069870607,7323.19034,99.0,23.12538041,63.4135915
Brazil,BRA,2008,98.526625,69.789,27.56505634,1.939215274,0.40939251,5.094195447,8801.759475,99.0,23.08529376,78.18528647
Brazil,BRA,2009,98.856938,67.881,27.65129562,1.799328142,0.424208814,-0.125812002,8569.901805,99.0,21.87859263,87.07984742
Brazil,BRA,2010,98.6,66.179,27.73753491,2.026605669,0.493004546,7.528225818,11249.29374,99.0,23.26797735,100.293596
Brazil,BRA,2011,99.328691,65.23,27.82377419,2.11062776,0.421846673,3.974423079,13200.55817,99.0,23.10205097,118.2517092
Brazil,BRA,2012,99.519494,63.675,27.91001347,2.271417684,0.459624079,1.921175986,12327.51556,95.0,22.13364737,124.1756934
Brazil,BRA,2013,99.575151,62.936,27.99625275,2.413446537,0.51411681,3.004822669,12258.56485,97.0,21.22480995,134.3929329
Brazil,BRA,2014,99.650247,63.12,28.08249204,2.51459196,0.527974362,0.50395574,12071.40465,93.0,20.47246275,137.9776265
Brazil,BRA,2015,99.710902,62.434,28.16873132,2.365360621,0.693497348,-3.545763393,8783.214413,96.0,19.36004398,125.6477067
Brazil,BRA,2016,99.7,57.88,28.2549706,2.161259847,0.799001694,-3.275916908,8680.735421,89.0,18.35475828,117.9869738
Brazil,BRA,2017,99.8,55.566,28.34106631,2.185486619,0.745436739,1.322869054,9896.717511,89.0,18.18850231,106.1217992
Brazil,BRA,2018,99.7,53.436,28.41562848,2.064261479,0.804438385,1.783666762,9121.020092,87.0,18.74905145,99.64002652
Brazil,BRA,2019,99.8,50.015,28.4901295,2.050770129,0.663749455,1.220777824,8845.323931,70.0,18.75462758,95.38505233
Brazil,BRA,2020,99.70271301,46.296,28.56461856,1.942523356,0.952656139,-3.276758796,6923.700197,77.0,19.5061184,96.54706819
China,CHN,2001,96.98531342,12.917,55.75787186,2.774762197,0.210789669,8.335733478,1053.112272,86.0,44.79341234,11.37860424
China,CHN,2002,97.21701813,12.814,55.82113207,2.964821228,0.20640258,9.13363079,1148.514188,86.0,44.45056753,16.08250443
China,CHN,2003,97.44718933,12.675,55.88438929,3.434036479,0.240689051,10.03803048,1288.637543,86.0,45.62278485,20.94488156
China,CHN,2004,97.68283081,12.528,55.94764475,3.945154871,0.188707219,10.11362138,1508.667946,87.0,45.90021167,25.81891467
China,CHN,2005,97.93093872,13.389,56.01090318,4.467696361,0.143362505,11.39459181,1753.414263,87.0,47.02257848,30.14865123
China,CHN,2006,98.19830322,13.712,56.07415984,4.910276197,0.138537981,12.72095567,2099.219342,93.0,47.55739757,35.11253649
China,CHN,2007,98.4865036,14.324,56.1374177,5.306368006,0.182953177,14.23086093,2693.958555,93.0,46.88416923,41.41509824
China,CHN,2008,98.79193878,15.141,56.20067197,5.435079096,0.225378563,9.65067892,3468.327063,97.0,46.97117236,48.20785124
China,CHN,2009,99.11075592,15.998,56.26392504,5.798319938,0.199418441,9.398725632,3832.227428,99.0,45.95714729,55.79864972
China,CHN,2010,99.7,15.908,56.18347308,6.335419767,0.188631847,10.63587106,4550.473924,99.0,46.49783114,63.71521287
China,CHN,2011,99.88720703,15.488,56.10366022,6.901347326,0.164685774,9.550832179,5614.385739,99.0,46.52928947,72.67381064
China,CHN,2012,99.94743347,16.256,56.02352781,7.04520023,0.141421178,7.863736449,6300.582352,99.0,45.42298074,81.38349829
China,CHN,2013,99.99295044,16.013,55.94339539,7.320154925,0.126224408,7.766150098,7020.385682,99.0,44.17670454,89.31856151
China,CHN,2014,100.0,16.39,55.86326298,7.304712872,0.14238397,7.425763656,7636.074223,99.0,43.08556811,92.84598562
China,CHN,2015,100.0,15.327,55.78313057,7.145131535,0.096751518,7.041328879,8016.446016,99.0,40.84133997,92.70071605
China,CHN,2016,100.0,15.282,55.70300409,7.105479936,0.103468084,6.848762205,8094.390375,99.0,39.5806215,97.36386675
China,CHN,2017,100.0,14.901,55.62287167,7.226160154,0.120213781,6.947200793,8817.045496,99.0,39.85169845,104.2265872
China,CHN,2018,100.0,13.325,55.54273924,7.533193134,0.097325992,6.749773832,9905.406118,99.0,39.68701182,116.3882038
China,CHN,2019,100.0,12.939,55.46264943,7.645435786,0.087302104,5.950500754,10143.86021,99.0,38.58740546,122.8132903
China,CHN,2020,100.0,11.73,55.46264943,7.756137907,0.086022844,2.238638356,10408.71912,99.0,37.8428218,120.5961882
Germany,DEU,2001,100.0,13.649,48.82201204,10.29361229,0.032204784,1.681468481,23628.32721,93.0,27.0691909,68.85395013
Germany,DEU,2002,100.0,12.894,48.63555581,10.10301134,0.033716689,-0.197973835,25197.2656,93.0,26.37872364,72.60008929
Germany,DEU,2003,100.0,11.995,48.74000172,10.13876361,0.033794051,-0.700116686,30310.3576,97.0,26.18678134,79.65893192
Germany,DEU,2004,100.0,11.329,48.77999828,9.95044613,0.028455774,1.175088132,34106.65812,96.0,26.40484946,87.76291359
Germany,DEU,2005,100.0,10.954,48.83300837,9.729463121,0.032373619,0.731707164,34520.23965,96.0,26.35329129,97.6097572
Germany,DEU,2006,100.0,10.721,48.59486121,9.886479572,0.03699801,3.816441913,36353.88033,96.0,26.97439918,105.5115846
Germany,DEU,2007,100.0,10.674,48.61330198,9.527623267,0.046856154,2.976455131,41640.08087,96.0,27.23650257,118.5370597
Germany,DEU,2008,100.0,10.564,48.53569687,9.617457887,0.039935235,0.959879134,45612.71062,96.0,26.84868191,129.9265409
Germany,DEU,2009,100.0,9.948,48.43808267,8.971731407,0.035183112,-5.693836336,41650.36783,96.0,24.73580485,129.2138879
Germany,DEU,2010,100.0,9.687,47.91003242,9.453388627,0.043712523,4.179882499,41572.45595,96.0,26.84889253,108.6995416
Germany,DEU,2011,100.0,8.996,47.96591692,9.299002904,0.039944775,3.925192705,46705.8958,95.0,27.06897192,111.6386991
Germany,DEU,2012,100.0,8.546,47.81086819,9.451289047,0.037339819,0.418497594,43855.85447,95.0,27.28398614,113.3108833
Germany,DEU,2013,100.0,8.075,47.85886265,9.624229367,0.037899849,0.437591303,46298.92292,93.0,26.78261334,122.4697309
Germany,DEU,2014,100.0,8.114,47.93637145,9.088527768,0.036820601,2.209543431,48023.86998,93.0,27.01099599,121.5873792
Germany,DEU,2015,100.0,8.318,47.95906667,9.087344804,0.035390905,1.491931528,41103.25644,93.0,27.10978858,117.4073504
Germany,DEU,2016,100.0,9.511,47.68433707,9.072972388,0.033102634,2.229999868,42136.12079,91.0,27.56850648,125.6749823
Germany,DEU,2017,100.0,8.618,47.76311647,8.858344511,0.028723759,2.680231114,44652.58917,91.0,27.46232202,132.7695384
Germany,DEU,2018,100.0,8.004,47.64153644,8.537042688,0.039007872,0.981232606,47939.27829,91.0,27.30627405,129.6794748
Germany,DEU,2019,100.0,7.524,47.70027763,7.927187624,0.031705515,1.056603898,46793.68676,91.0,26.95424472,128.9265144
Germany,DEU,2020,100.0,7.417,47.49706632,7.255221028,0.027904354,-3.696788705,46772.82535,91.0,26.62110218,128.8867207
India,IND,2001,62.00543976,99.575,60.70483218,0.883746998,0.328226825,4.823966264,449.9111249,59.0,26.48777734,0.606133118
India,IND,2002,62.3,93.536,60.72938494,0.897242649,0.371673727,3.803975321,468.8444283,59.0,27.66065416,1.183633404
India,IND,2003,65.41201019,86.914,60.62478348,0.905456602,0.339283734,7.860381476,543.8437989,61.0,27.47410712,3.014994095
India,IND,2004,64.4,73.229,60.66716221,0.955470157,0.242799599,7.922936613,624.1050944,63.0,29.21910631,4.595760598
India,IND,2005,68.8404541,55.703,60.58341377,0.984261473,0.211929549,7.923430621,710.5093449,65.0,29.53376419,7.806770983
India,IND,2006,67.9,47.951,60.50941918,1.036533922,0.282048662,8.060732573,802.013742,65.0,30.92723994,14.16357152
India,IND,2007,72.3407135,45.112,60.4132262,1.123599482,0.301757705,7.660815065,1022.732476,64.0,30.90323825,19.63701843
India,IND,2008,74.11849213,48.306,60.45930465,1.180361247,0.299305173,3.08669806,993.5034125,70.0,31.13671924,28.74616679
India,IND,2009,75.0,41.494,60.56390611,1.278873603,0.259203474,7.861888833,1096.636136,74.0,31.12137211,42.91212541
India,IND,2010,76.3,39.222,60.39741826,1.338033835,0.376557741,8.497584702,1350.634457,79.0,30.72507823,60.63048058
India,IND,2011,79.51678467,36.935,60.43004315,1.396878498,0.351612911,5.241315001,1449.603301,82.0,30.16167976,71.07565334
India,IND,2012,79.9,34.535,60.42062566,1.498204123,0.309532653,5.456388753,1434.017978,82.0,29.39852769,67.84853606
India,IND,2013,83.13139343,33.962,60.43946065,1.5276744,0.279675793,6.386106401,1438.056995,83.0,28.40489956,68.6455143
India,IND,2014,85.13391113,34.643,60.44955082,1.642465277,0.265031117,7.410227605,1559.863772,85.0,27.6564012,72.21351677
India,IND,2015,88.0,22.432,60.43172485,1.631323487,0.295004656,7.996253786,1590.174322,87.0,27.34739148,75.67324414
India,IND,2016,89.58630371,20.025,60.39909996,1.639914019,0.297938361,8.256305502,1714.279541,88.0,26.61899994,84.25058892
India,IND,2017,91.79415894,20.42,60.2839388,1.704926721,0.2067938,6.795383419,1957.969814,89.0,26.50001665,86.31708801
India,IND,2018,95.7,19.275,60.24356466,1.795595299,0.148835142,6.453851345,1974.37773,90.0,26.4120919,85.90350833
India,IND,2019,95.88594055,17.701,60.21981337,1.752534366,0.155888419,3.871436941,2050.16379,91.0,24.59147531,83.25286162
India,IND,2020,96.5,17.278,60.04586286,1.576093232,0.186259152,-5.83105322,1913.219721,85.0,25.02025424,82.621059
Japan,JPN,2001,100.0,5.744,14.30178326,9.220202282,0.007214103,0.386103426,34406.16902,95.0,30.9812267,58.88224733
Japan,JPN,2002,100.0,5.973,14.19753086,9.468870493,0.007606903,0.041962499,32820.78863,96.0,30.22260008,63.72129527
Japan,JPN,2003,100.0,5.696,14.10150892,9.504764403,0.007774737,1.535125499,35387.04836,97.0,30.07892076,67.96345216
Japan,JPN,2004,100.0,5.565,14.01920439,9.449563638,0.005748603,2.186115694,38298.98017,99.0,29.96693054,71.64805919
Japan,JPN,2005,100.0,5.233,13.93689986,9.512764042,0.007865069,1.803900872,37812.89102,98.0,29.87170704,75.49704878
Japan,JPN,2006,100.0,5.15,13.86392318,9.331294289,0.00906273,1.372350128,35991.54239,98.0,29.66557181,78.04871672
Japan,JPN,2007,100.0,5.046,13.7909465,9.593603175,0.011493655,1.483969412,35779.01568,98.0,29.59729581,83.854384
Japan,JPN,2008,100.0,5.122,13.71522634,9.04895325,0.012202094,-1.224289001,39876.3063,98.0,28.78297644,86.1938134
Japan,JPN,2009,100.0,4.887,13.64773663,8.609230985,0.0102616,-5.693236359,41309.00165,97.0,27.11121222,90.7727623
Japan,JPN,2010,100.0,4.561,13.58847737,9.036009995,0.009723145,4.097917919,44968.15623,97.0,28.33597017,96.23879646
Japan,JPN,2011,100.0,4.408,13.4951989,9.495009896,0.009399555,0.023809524,48760.07895,97.0,26.70143607,103.7137488
Japan,JPN,2012,100.0,4.341,13.45679012,9.827855738,0.009451767,1.374750999,49145.28043,97.0,26.56264143,110.3834252
Japan,JPN,2013,100.0,4.371,13.42112483,9.944495272,0.012949635,2.005100177,40898.6479,96.0,26.65074506,115.827725
Japan,JPN,2014,100.0,4.345,13.36076818,9.564305918,0.015779615,0.296205514,38475.39525,96.0,27.31362673,123.8316866
Japan,JPN,2015,100.0,4.027,13.29492455,9.268049646,0.017410263,1.560626697,34960.63938,96.0,28.58371142,126.1756831
Japan,JPN,2016,100.0,3.742,13.20438957,9.166714407,0.017122308,0.753826746,39375.47316,99.0,28.62994765,131.3864746
Japan,JPN,2017,100.0,3.29,13.10836763,9.063691208,0.02896143,1.675331752,38834.05293,99.0,28.88242601,136.4176676
Japan,JPN,2018,100.0,2.992,13.02057613,8.76197885,0.024870067,0.643391023,39751.1331,98.0,29.01400769,142.4668807
Japan,JPN,2019,100.0,2.808,12.93552812,8.478400575,0.023851633,-0.402169201,40415.95676,98.0,28.80408481,148.2722187
Japan,JPN,2020,100.0,2.887,12.84499314,8.03149587,0.023554452,-4.278603688,39986.92863,96.0,28.99354533,155.7389638
Kenya,KEN,2001,17.04813576,117.281,47.15711424,0.247786636,3.117575362,3.779906498,408.3606087,80.0,15.30962409,1.886772102
Kenya,KEN,2002,18.91202927,114.05,47.12021647,0.233826766,3.710381966,0.54685953,401.0923718,84.0,15.45356118,3.621502166
Kenya,KEN,2003,16.0,112.337,47.21861054,0.202475058,5.072171242,2.932475546,441.3914117,73.0,15.62315004,4.711047036
Kenya,KEN,2004,22.64220619,112.52,47.42594089,0.220244198,4.119234753,5.104299776,462.6182158,73.0,16.20507734,7.31825995
Kenya,KEN,2005,24.52250099,109.26,47.44351126,0.242937186,4.070522437,5.90666608,522.7768371,76.0,17.01262604,12.86713923
Kenya,KEN,2006,26.42205238,107.551,47.53487718,0.264463997,2.941297288,6.4724943,699.3997381,80.0,19.38410594,19.8788531
Kenya,KEN,2007,28.34244156,108.003,47.56298977,0.259456679,3.575032629,6.85072977,840.1916319,81.0,19.30216808,29.83798266
Kenya,KEN,2008,30.280056,106.586,47.58934533,0.265693416,3.630949929,0.232282745,915.9989157,88.0,18.58277173,41.60465635
Kenya,KEN,2009,23.0,103.526,47.94075271,0.307805553,3.221197189,3.306939816,1049.121794,88.0,18.38662467,47.97429887
Kenya,KEN,2010,19.2,101.767,47.98467864,0.323340092,2.58974019,8.058473603,1093.639628,90.0,18.57467277,60.14006827
Kenya,KEN,2011,36.15786362,97.342,48.53111712,0.327520883,2.840044073,5.12110612,1099.315465,96.0,19.66290083,65.86296741
Kenya,KEN,2012,38.12599182,93.702,48.55044453,0.296879605,2.754419057,4.568679614,1289.780795,94.0,19.26155256,70.28287597
Kenya,KEN,2013,40.09215164,90.858,48.56977194,0.321208738,2.600018817,3.797848393,1376.829206,87.0,19.08025911,71.06121963
Kenya,KEN,2014,36.0,86.955,48.58909934,0.364375326,2.617477613,5.020111002,1489.919724,92.0,19.0360328,73.38263833
Kenya,KEN,2015,41.6,81.426,48.61018379,0.386120074,2.700479051,4.967721128,1496.653568,89.0,18.8940457,80.50105901
Kenya,KEN,2016,53.1,76.813,48.62951119,0.403178475,2.649613375,4.213517068,1562.076611,89.0,18.16215929,81.39149513
Kenya,KEN,2017,55.8319931,72.354,48.6488386,0.41058151,2.309249212,3.837958174,1675.98843,82.0,17.50350921,87.47035459
Kenya,KEN,2018,61.18061447,71.298,48.668166,0.385437968,1.355396563,5.647946407,1845.783413,92.0,17.31314613,99.09540718
Kenya,KEN,2019,69.7,69.578,48.68749341,0.382362033,1.220581779,5.114158858,1970.080063,91.0,16.93054523,107.0734925
Kenya,KEN,2020,71.49271393,64.939,48.68749341,0.374079219,1.267001982,-0.272766327,1936.250752,89.0,17.40028763,118.1263492
South Africa,ZAF,2001,70.2,61.714,80.79614868,6.78372306,0.875540522,2.7,2867.472552,71.0,28.53161312,22.83943536
South Africa,ZAF,2002,76.7,58.401,80.8085138,6.950513574,1.103001095,3.700374404,2708.423419,70.0,28.50591602,28.7485622
South Africa,ZAF,2003,78.8,59.15,80.72607968,7.338956173,0.887761352,2.949075468,4095.68361,69.0,26.89286806,35.0490254
South Africa,ZAF,2004,80.6,59.705,80.46229051,7.824764075,0.506569127,4.554559907,5268.278984,74.0,26.30363667,42.91739338
South Africa,ZAF,2005,80.8,56.003,80.35924787,7.704297845,0.577918634,5.277051973,5893.186767,81.0,26.01507927,69.28179094
South Africa,ZAF,2006,80.7,57.98,79.86876489,7.672712199,0.657014496,5.603806459,6139.581467,84.0,24.85911763,80.13859924
South Africa,ZAF,2007,82.0,58.012,79.87041357,7.943858574,0.581382031,5.360474054,6662.062785,85.0,25.29461831,84.60660947
South Africa,ZAF,2008,81.9,70.671,80.05011994,8.446649685,0.823847142,3.191043886,6251.877175,82.0,26.94155611,88.99293459
South Africa,ZAF,2009,82.6,67.672,79.951199,7.902048941,0.673968817,-1.538089135,6444.18672,81.0,25.74307619,90.74710393
South Africa,ZAF,2010,82.8,67.824,79.87123791,8.217612227,0.4910121,3.039732881,8059.562841,77.0,25.3034631,97.27155903
South Africa,ZAF,2011,83.6,72.582,79.44505354,7.808053742,0.443221511,3.168556279,8737.04111,75.0,24.83949115,122.0365009
South Africa,ZAF,2012,85.2,71.595,79.41785028,8.034649259,0.582237603,2.396232385,8173.869138,71.0,24.46860024,128.6931179
South Africa,ZAF,2013,85.2,77.424,79.41785028,8.116434954,0.568010746,2.485468008,7441.230854,81.0,24.55174177,142.6770351
South Africa,ZAF,2014,85.9,83.046,79.41785028,8.191152527,0.58565256,1.413826452,6965.137897,85.0,24.30528201,144.8590927
South Africa,ZAF,2015,85.3,78.367,79.41785028,7.607188524,0.612355829,1.321862237,6204.929901,85.0,23.73230797,157.4892588
South Africa,ZAF,2016,83.9,70.813,79.41785028,7.544589571,0.651866805,0.664552308,5735.066787,85.0,23.7825373,146.0644426
South Africa,ZAF,2017,84.4,63.706,79.41785028,7.683707811,0.604883242,1.157946952,6734.475153,84.0,23.6105565,156.2424453
South Africa,ZAF,2018,84.7,59.361,79.41785028,7.667377025,0.6499852,1.522329387,7048.508112,82.0,23.60162619,161.1938374
South Africa,ZAF,2019,85.0,64.982,79.41785028,7.688907623,0.645393715,0.303453235,6688.774746,85.0,23.63780822,166.9433215
South Africa,ZAF,2020,90.0,62.742,79.41785028,6.687563147,0.743378899,-6.342471149,5741.641249,84.0,23.2727873,163.1909795
United States,USA,2001,100.0,44.099,45.2900702,20.17153693,0.059120636,0.954338729,37133.62311,94.0,21.46900445,45.01340879
United States,USA,2002,100.0,41.761,45.08487304,19.44553028,0.056664207,1.695942923,37997.75966,94.0,20.65246551,49.17630521
United States,USA,2003,100.0,40.338,45.08032159,19.50650553,0.056783386,2.796209101,39490.27496,96.0,20.73947669,55.18089359
United States,USA,2004,100.0,39.658,45.07580289,19.59761671,0.060621151,3.852552601,41724.63163,96.0,20.95003656,62.87475074
United States,USA,2005,100.0,38.963,45.0712951,19.46927252,0.05790623,3.48322032,44123.40707,96.0,21.20626982,68.62220987
United States,USA,2006,100.0,39.756,45.06684188,18.94591684,0.05914781,2.782810626,46302.00088,96.0,21.58696179,76.59637266
United States,USA,2007,100.0,40.38,45.06234501,19.04291178,0.061974313,2.010507552,48050.22378,96.0,21.42388216,82.34696473
United States,USA,2008,100.0,39.629,44.92002116,18.27849126,0.048725029,0.122188443,48570.04598,96.0,20.79350737,85.47738005
United States,USA,2009,100.0,37.647,44.7062669,16.80868142,0.036410132,-2.599888351,47194.94335,95.0,19.2684773,88.90512135
United States,USA,2010,100.0,34.436,44.49251264,17.43173699,0.044773249,2.708856694,48650.64313,95.0,19.31025724,91.6239454
United States,USA,2011,100.0,31.381,44.27875838,16.60418962,0.049035837,1.54989495,50065.9665,96.0,19.40750234,94.75188415
United States,USA,2012,100.0,29.137,44.06499907,15.78976015,0.042316243,2.280687603,51784.41857,94.0,19.16261132,96.26929679
United States,USA,2013,100.0,26.447,44.12468215,16.11117526,0.045107827,1.841875395,53291.12769,94.0,19.24162602,97.28308055
United States,USA,2014,100.0,24.036,44.18436018,16.04091676,0.043889613,2.287775933,55123.84979,95.0,19.33151521,100.1748375
United States,USA,2015,100.0,21.899,44.24402728,15.56001544,0.035786446,2.706369582,56762.72945,95.0,18.58713204,102.3083933
United States,USA,2016,100.0,19.867,44.30370531,15.14988272,0.037031058,1.667472076,57866.74493,95.0,18.04222128,103.3702501
United States,USA,2017,100.0,18.423,44.36336735,14.82324544,0.041419745,2.241921216,59907.75426,94.0,18.43542408,103.1297891
United States,USA,2018,100.0,17.06,44.36336735,15.2225181,0.034627466,2.945384831,62823.30944,94.0,18.63089824,104.847944
United States,USA,2019,100.0,16.414,44.36336735,14.67338071,0.038216107,2.294439078,65120.39466,94.0,18.28042804,106.4140195
United States,USA,2020,100.0,15.83,44.36336735,13.03282795,0.036796385,-2.767802511,63528.6343,93.0,17.50842848,104.9353748
